Description,Category
Still waiting for action on request raised 5 days ago. pls do something asap!,CM Office (Miscellaneous)
Suspicious activities happening around School every night.,Police
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
"Drainage overflow at Colony, foul smell everywhere.",Municipal
Suspicious activities happening around Colony every night.,Police
Buses not stopping at Market despite schedule.,Transport
"Drainage overflow at Main Road, foul smell everywhere.",Municipal
stray dogs @tacking people n park.,Municipal
Overhead bridge construction delayed near Main Road.,Public Works Department
repe@ed complaints ignored by department.,CM Office (Miscellaneous)
Traffic signal malfunctioning near Colony.,Transport
Overhead bridge construction delayed near Colony.,Public Works Department
Building being constructed without permission near Colony.,Development Authority
Suspicious activities happening around Highway every night. pls do something asap!,Police
Auto drivers overcharging passengers near Colony. pls do something asap!,Transport
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Drainage blocked near Main Road causing flooding.,Public Works Department
Newly constructed footpath at Metro Station already broken.,Public Works Department
street repair left incomplete @ metro st@ion.,Public Works Department
"Burglary reported at Colony, no investigation done.",Police
Road at Park has deep potholes causing accidents.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Drainage blocked near School causing flooding.,Public Works Department
Unauthorized shops set up near Temple. pls do something asap!,Development Authority
"Road divider missing near Highway, causing accidents.",Transport
No sanitation workers seen for a week at Metro Station.,Municipal
Stray dogs attacking people near Bus Stand.,Municipal
Heavy vehicles blocking main road near Temple.,Transport
No acknowledgment received for complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
Dumping of debris on open land near Metro Station.,Development Authority
Traffic signal malfunctioning near Metro Station.,Transport
Cement road at Highway cracked within a week of repair.,Public Works Department
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Frequent traffic jams near Metro Station.,Transport
Drainage blocked near Main Road causing flooding.,Public Works Department
Cement road at School cracked within a week of repair.,Public Works Department
Land dispute reported at Metro Station.,Development Authority
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Assault reported outside School.,Police
Assault reported outside Main Road.,Police
Land dispute reported at Highway.,Development Authority
Bus stop shelter at Main Road damaged and unsafe.,Transport
No sanitation workers seen for a week at Market.,Municipal
"Streetlight not working in Market, unsafe at night.",Municipal
traffic signal malfunctioning n park.,Transport
Building being constructed without permission near Main Road.,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Suspicious activities happening around Temple every night.,Police
Road at Highway has deep potholes causing accidents.,Public Works Department
"Theft occurred at Bus Stand, no police arrived yet.",Police
"Burglary reported at Highway, no investigation done.",Police
"Loud music playing late night at Main Road, no action taken.",Police
plot boundaries changed illegally n metro st@ion.,Development Authority
"theft occurred @ bus stand, no police arrived yet.",Police
Land dispute reported at Temple.,Development Authority
Newly constructed footpath at Bus Stand already broken.,Public Works Department
Dumping of debris on open land near Metro Station.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Garbage not collected for 13 days near Market.,Municipal
Newly constructed footpath at Colony already broken.,Public Works Department
Unauthorized shops set up near Highway.,Development Authority
Grievance No. CM8423 pending without update.,CM Office (Miscellaneous)
Garbage not collected for 10 days near Colony.,Municipal
Street repair left incomplete at Metro Station.,Public Works Department
Bus stop shelter at Temple damaged and unsafe.,Transport
Department staff being rude and unhelpful. pls do something asap!,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Assault reported outside Park.,Police
Plot boundaries changed illegally near Main Road.,Development Authority
"Loud music playing late night at Temple, no action taken.",Police
Stray dogs attacking people near Hospital.,Municipal
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Group of men harassing women near Market.,Police
Frequent traffic jams near Metro Station. pls do something asap!,Transport
"Loud music playing late night at Bus Stand, no action taken.",Police
Buses not stopping at Market despite schedule.,Transport
Traffic signal malfunctioning near Temple.,Transport
Open manhole causing danger near Metro Station.,Municipal
Encroachment on government land near Hospital.,Development Authority
Building being constructed without permission near Highway.,Development Authority
department staff being rude and unhelpful. pls do something asap!,CM Office (Miscellaneous)
Road at Bus Stand has deep potholes causing accidents.,Public Works Department
"Road divider missing near Metro Station, causing accidents.",Transport
Stray dogs attacking people near Colony.,Municipal
Street repair left incomplete at School. pls do something asap!,Public Works Department
Illegal hoardings at Metro Station causing obstruction.,Development Authority
"Loud music playing late night at Colony, no action taken.",Police
Drainage blocked near Highway causing flooding.,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
"loud music playing l@e night @ park, no action taken.",Police
Grievance No. CM9702 pending without update.,CM Office (Miscellaneous)
"Burglary reported at School, no investigation done.",Police
Stray dogs attacking people near Park.,Municipal
Cement road at Colony cracked within a week of repair.,Public Works Department
Suspicious activities happening around Metro Station every night.,Police
"theft occurred @ hospital, no police arrived yet.",Police
