Description,Category
"Street damaged after rain, vehicles skidding. facing issues since last week.",Public Works Department
Online complaint portal not working for days. facing issues since last week.,CM Office (Miscellaneous)
Need urgent help regarding electricity bill issue. situation getting worse.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near temple. request urgent action.,Municipal
Land encroachment by private party near school. request urgent action.,Development Authority
Police not responding quickly during emergencies. request urgent action.,Police
There is frequent eve teasing near the railway station.,Police
Water stagnation near temple due to poor drainage. facing issues since last week.,Public Works Department
Streetlights not working since last week in XYZ Nagar. request urgent action.,Municipal
Unauthorized shops operating near community hall. request urgent action.,Development Authority
Stormwater drain collapsed near city mall. needs immediate attention.,Public Works Department
Bridge under repair for months at community hall. request urgent action.,Public Works Department
Police not responding quickly during emergencies. kindly look into this.,Police
Signal at city mall not functioning properly causing accidents. needs immediate attention.,Transport
Uneven road surface leading to traffic problems. facing issues since last week.,Public Works Department
Government office not responding to complaints. kindly look into this.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office. facing issues since last week.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near bus stop. facing issues since last week.,Municipal
Violation of building norms at temple. situation getting worse.,Development Authority
Police not responding quickly during emergencies. request urgent action.,Police
Unhygienic conditions near market in Central Avenue. request urgent action.,Municipal
Illegal gambling happening behind bus depot. needs immediate attention.,Police
New road construction delayed at Central Avenue. request urgent action.,Public Works Department
Chain snatching reported near bus depot. Please take action. request urgent action.,Police
Autos refusing passengers in ABC Colony. facing issues since last week.,Transport
Corruption complaint ignored by local officer. needs immediate attention.,CM Office (Miscellaneous)
"Footpath broken near Downtown, pedestrians facing issues. request urgent action.",Public Works Department
People fighting daily at the bus stop. kindly look into this.,Police
Culvert repair pending at Hill View. situation getting worse.,Public Works Department
There is frequent eve teasing near the school. please resolve soon.,Police
People fighting daily at the hospital.,Police
Violation of building norms at temple. needs immediate attention.,Development Authority
Accidents happening due to no speed breakers at market area. needs immediate attention.,Transport
Pedestrian crossing signal not working at park. kindly look into this.,Transport
Government office not responding to complaints.,CM Office (Miscellaneous)
Broken divider near bus depot causing jams. facing issues since last week.,Transport
Heavy traffic jam at railway station every morning. kindly look into this.,Transport
Accidents happening due to no speed breakers at market area. kindly look into this.,Transport
Illegal gambling happening behind signal point. please resolve soon.,Police
Citizen grievance unresolved despite repeated attempts. request urgent action.,CM Office (Miscellaneous)
Water leakage near ring road.,Municipal
Public dustbins overflowing and not cleaned. needs immediate attention.,Municipal
Broken divider near signal point causing jams. facing issues since last week.,Transport
Road full of potholes at park.,Public Works Department
Heavy traffic jam at market area every morning. please resolve soon.,Transport
Bus shelter at MG Road broken and unsafe. request urgent action.,Transport
No proper communication from officials on issue raised. needs immediate attention.,CM Office (Miscellaneous)
